Vegies,Vegies2,Vegies3,Flour/Bread,Flour/Bread2,Sauces,Sauces2,Sauces3,Meat,Meat2,Rice/Noodles,Spices,Spices2,Spices3,Other,Other2,Diabetic,Target
Potato,,Peas,,,,,,,,,,,,,,No,ALOO MATAR
Potato,,,,,,,,,,,,,, vegetable stock,chicken stock,No,AUSTRO-HUNGARIANCREAMOFHORSERADISHSOUP
,eggplant,,,,tahini,liquid smoke,,,,,,,,,,No,Baba Ganoush
,,,,bread flour,malt syrup,,,,,,,,,,,No,Bagels
,,,all-purpose flour,,,,,,,,,,,sugar,,Yes,Bao Buns
,,,,,tomato sauce,apple cider vinegar,vinegar,,,,,,,,,Yes,Barbeque Sauce
,Onion,,,,,,,beef,,taco,,,,,,Yes,Beef Tacos
Okra,Onion,,,,,,,,,,,,,yogurt,,No,Bhindi Fry
coconut,,,,,,,,,,rice,biryani masala,,,,,Yes,Biryani Shorba
black beans,,,,,,,,,,tortillas,,,,Tomatillo salsa,,Yes,Black Bean Enchiladas
,Onion,,,,,,,,,basmati rice,black peppercorns,,,,,No,Black Pepper Rice
,,,,,gochujang,soy sauce,rice wine vinegar,,,,,,,,,No,Bonchon Style Sauce
,eggplant,,,,,,,,,,curry leaves,,,coconut milk,,No,Brinjal Curry
,carrot,habanero peppers,,,,,,,,,,,,,,Yes,Burning Bike Hot Sauce
,,,,,,,,,,,grams ground cannabis,,,Cheesecloth,butter,No,Cannabutter
,,,,,,soy sauce,,steak,,,,ancho chiles,,,,Yes,Carne Asada
Jalepeno,Onion,,,,,,,boneless pork butt,,,,,,,,Yes,Carnitas With Salsa Verde
chickpeas,,tomato,,,,,,,,,,,,ghee,,No,Channa Masala
,,,flour,,,,,chicken,,,,,,oil,,Yes,Chicken Nuggets
,,,flour,bread crumbs,,,,chicken breasts,,,,,,,,No,Chicken Schnitzel
,,,,,,,,pork,,,,ancho chiles,pasilla chiles,,,No,Chile Colorado
,,,flour,,,,,,,,,,,,,No,Cracker Crust Pizza
,,,,,,,,chicken,,tortillas,poblano peppers,,,,,No,Creamy Chicken Enchiladas
cucumber,,,,,,,,,,,,,,yogurt,lemon juice,No,Cucumber Raita
,Onion,,,,tomato sauce,,sauce,beef,,,,,,,,No,Dad's Spaghetti Sauce
,,,flour,,,,,,,,,,,sugar,,Yes,Diner Style Pancakes
,Onion,,,,,,,,,rice,,,,,,No,Egg Biryani
,,,,,,,,,,,guagillo chiles,ancho chiles,arbol chiles,,,Yes,Enchilada Sauce
,,,flour,,,,,lard,,,,,,,,No,Flour Tortillas
,,,,bread,,,,,,,garlic,,,,butter,No,Garlic Bread
cabbage,,,, ,fish sauce,,,,,,garlic,,,,,No,Garlicky Cabbage And Fish Sauce
cauliflower,,,corn starch,,,soy sauce,,,,,,,,,,Yes,Gobi Manchurian
Potato,,,,,,,,chicken,,,Greek seasoning,,,,,No,Greek Chicken And Potatoes
avocadoes,Onion,,,,,,,,,,,,,,,No,Guasacaca
,,,,,,,,chicken,,rice,,,,yogurt,,No,Halal Cart Chicken
,,,,,,,,,,,guagillo chiles,ground caraway,red chilies,,,No,Halal Cart Red Sauce
,,,flour,,,,,,,,,,,,,No,Hamburger Buns
