Vegies,Vegies2,Vegies3,Flour/Bread,Flour/Bread2,Sauces,Sauces2,Sauces3,Meat,Meat2,,Rice/Noodles,Spices,Spices2,Spices3,sp,Other,Other2,Ingredients ,input2,input3,Diabetic,target
Potato,,Peas,,,,,,,,,,,,,,,,potato,,,No,ALOO MATAR
Potato,,,,,,,,,,,,,,,, vegetable stock,chicken stock,eggplants,,,No,AUSTRO-HUNGARIANCREAMOFHORSERADISHSOUP
,eggplant,,,,tahini,liquid smoke,,,,,,,,,,,,okra,,,No,Baba Ganoush
,,,,bread flour,malt syrup,,,,,,,,,,,,,black beans,,,No,Bagels
,,,all-purpose flour,,,,,,,,,,,,,sugar,,habanero peppers,,,Yes,Bao Buns
,,,,,tomato sauce,apple cider vinegar,,,,,,,,,,,,chickpeas,,,Yes,Barbeque Sauce
,Onion,,,,,,,beef,,,taco,,,,,,,cucumber,,,Yes,Beef Tacos
Okra,Onion,,,,,,,,,,,,,,,yogurt,,cauliflower,,,No,Bhindi Fry
coconut,,,,,,,,,,,rice,biryani masala,,,,,,avocadoes,,,Yes,Biryani Shorba
black beans,,,,,,,,,,,tortillas,,,,,Tomatillo salsa,,butternut squash,,,Yes,Black Bean Enchiladas
,Onion,,,,,,,,,,basmati rice,black peppercorns,,,,,,jalepeno peppers,,,,
,,,,,gochujang,soy sauce,rice wine vinegar,,,,,,,,,,,jalapenos,,,,
,eggplant,,,,,,,,,,,curry leaves,,,,coconut milk,,peas,,,,
,carrot,habanero peppers,,,,,,,,,,,,,,,,onions,,,,
,,,,,,,,,,,,grams ground cannabis,,,,Cheesecloth,butter,rasberries,,,,
,,,,,,soy sauce,,steak,,,,,ancho chiles,,,,,parsnips,,,,
Jalepeno,Onion,,,,,,,boneless pork butt,,,,,,,,,,yellow tomatato ,,,,
chickpeas,,tomato,,,,,,,,,,,,,,ghee,,grren peppers,,,,
,,,flour,,,,,chicken,,,,,,,,oil,,frozen cranberrries,,,,
,,,flour,bread crumbs,,,,chicken breasts,,,,,,,,,,yellow and brown mustard seeds,,,,
,,,,,,,,pork,,,,,ancho chiles,pasilla chiles,,,,water spinach,,,,
,,,flour,,,,,,,,,,,,,,,tomatillos,,,,
,,,,,,,,chicken,,,tortillas,poblano peppers,,,,,,cilantro,,,,
cucumber,,,,,,,,,,,,,,,,yogurt,lemon juice,Coriander,,,No,Black Pepper Rice
,Onion,,,,tomato sauce,,,beef,,,,,,,,,,white onion,,,,
,,,flour,,,,,,,,,,,,,sugar,,carrots,,,,
,Onion,,,,,,,,,,rice,,,,,,,cabbage,,,,
,,,,,,,,,,,,guagillo chiles,ancho chiles,arbol chiles,,,,chinese broccoli,,,,
,,,flour,,,,,lard,,,,,,,,,,red grapefruit,,,,
,,,,bread,,,,,,,,garlic,,,,,butter,shallot,,,,
cabbage,,,, ,fish sauce,,,,,,,garlic,,,,,,coconut,,,,
cauliflower,,,corn starch,,,soy sauce,,,,,,,,,,,,celery,,,,
Potato,,,,,,,,chicken,,,,Greek seasoning,,,,,,lemon,,,,
avocadoes,Onion,,,,,,,,,,,,,,,,,tomato,,,,
,,,,,,,,chicken,,,rice,,,,,yogurt,,,,,,
,,,,,,,,,,,,guagillo chiles,ground caraway,red chilies,,,,,,,,
,,,flour,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,guagillo chiles,New Mexico chiles,,,oil,,,,,,
butternut squash,,,,,maple syrup,,,,,,,bay leaves,,,,,buttersquash,,,,,
,,,flour,,,,,,,,,,,,,,,chana dal ,,,,
chickpeas,celery,,,,tahini,,,,,,,,,,,,,urad dal,,,,
Jalepeno,,,,,,,,,,,,garlic,serrano chiles,,,,,,,,,
,Onion,,,,,,,beef,lamb,,,,,,,,,,,,,
,,,,bread crumbs,tomato sauce,,,,,,,,,,,,,,,,,
shallot,,,,,,,,chicken,,,sticky rice,,,,,,,,,,,
,,lemon,,,tahini,,,,,,,,,,,,lemon juice,,,,,
,,,,,,,,beef,lamb,,rice,,,,,,,,,,No,Bonchon Style Sauce
,,,,bread crumbs,,,,,,,macaroni,,,,,cheese,,,,,No,Brinjal Curry
,,,,,,,,,,,,,,,,ghee,mustard seeds,,,,Yes,Burning Bike Hot Sauce
Potato,,,,,,,,,,,,,,,,coconut milk,,all-purpose flour,,,No,Cannabutter
,,,,,,,,ribs,,,,garlic,,,,dark brown sugar,,flour,,,Yes,Carne Asada
,,,,,,,,,,,,,,,,,,bread,,,Yes,Carnitas With Salsa Verde
,,,,,,,,,,,,,,,,,,bread flour,,,No,Channa Masala
,,,,bread flour,,,,,,,,,,,,mozarella cheese,yeast,corn starch,,,Yes,Chicken Nuggets
black beans,,,,,,,,,,,,garlic,chiles de árbol,,,dried black beans,,bread crumbs,,,No,Chicken Schnitzel
,,,,,,,,,,,,,,,,,,wheat flour,,,No,Chile Colorado
chinese broccoli,,,,,,,,,,,noodles,,,,,vegetable oil,,,,,No,Cracker Crust Pizza
,,,,,,,,dried shrimp,eggs,,rice noodles,,,,,,,,,,,
,,,,,thai red curry paste,,,,,,,,,,,tofu,long beans,,,,,
,,,wheat flour,,,,,,,,,,,,,granulated sugar,,,,,,
,,,flour,,,,,,,,,,,,,olive oil,,,,,,
,,cilantro,,,hot sauce,,,,,,,,,,,,butter,,,,,
Potato,,cilantro,,,white vinegar ,,,,,,,,,,,,,,,,,
,Onions,,,,,,,,,,,,,,,american cheese,,,,,No,Creamy Chicken Enchiladas
,,rasberries,,,,,,,,,,fresh thyme,,,,,lemon juice,tomato sauce,,,,
parsnips,carrot,,,,,,,,,,,,,,,olive oil,,,,,No,Cucumber Raita
,,,flour,,,,,,,,,,,,,,butter,gochujang,,,No,Dad's Spaghetti Sauce
,,,,,,,,salami,,,,garlic,,,,white beans,,tahini,,,Yes,Diner Style Pancakes
,,yellow tomato,,,,,,,,,,garlic,seasme seeds,,,,,thai red curry paste,,,,
Potato,Onions,Peas,,,,,,,,,,,,,,,,Mayo,,,,
,,,corn starch,,,,,,,,,,seasme seeds,,,tofu,,apple cider vinegar,,,,
,,,,,,,,,,,,peppercons,dried chilles,salicion,,,,,,,,
green peppers,,,,,,,,,,,,,,red chilies,,tofu,,soy sauce,,,,
,,,,,,,,ribs,boneless pork shoulder,,,,,,,pecan,,fish sauce,,,,
,,,,,,,,whole turkey,,,,black pepper,,,,olive oil,,hot sauce,,,,
Jalepeno,frozen cranberrries,,,,,,,,,,,,,,,,,malt syrup,,,No,Egg Biryani
